This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
I0502 14:57:46.318957 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318959 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318962 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318965 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318968 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318989 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318993 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318996 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318999 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319002 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319005 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319008 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319011 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319014 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319018 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319021 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319024 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319027 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319031 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319034 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319037 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319040 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319043 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319047 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319051 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319054 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319058 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319061 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319064 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319066 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319070 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319073 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319076 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319079 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319081 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319085 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319090 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319094 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319097 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319100 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319103 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319115 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319119 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319122 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319125 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319128 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319131 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319134 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319137 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319140 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319143 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319146 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319148 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319151 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319154 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319157 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319160 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319162 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319165 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319168 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319171 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319173 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319176 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319179 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319181 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319184 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319187 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319189 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319192 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319195 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319198 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
